Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S47456591,Graylag Goose,Anser anser,259,2,GB-SCT,Edinburgh,L6995549,Holyrood Park--St. Margaret's Loch,55.9521649,-3.1612408,2018-07-26,10:21 AM,eBird - Casual Observation,,0,,,2,,,ascending to Arthur's Seat with Bonnie,
S33391536,Graylag Goose (Domestic type),Anser anser (Domestic type),262,6,PT-11,Lisboa,L2619365,Jardim da Estrela,38.7148948,-9.1594005,2016-12-28,11:38 AM,eBird - Casual Observation,0,0,,,2,,,vacationing with Bonnie,44227891
S44588505,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),289,4,US-MA,Middlesex,L842968,"Hager Pond, Marlborough",42.3496639,-71.4885521,2018-04-14,08:00 AM,eBird - Stationary Count,15,1,,,2,,,with Bonnie,
S23178806,Brant,Branta bernicla,291,3,US-MA,Essex,L129084,Sandy Point State Reservation,42.7035658,-70.7790756,2015-05-02,08:15 AM,eBird - Traveling Count,135,1,10,,2,,https://www.dropbox.com/s/4mt7hu1xnprtxzh/IMG_20150502_093545_498.jpg?dl&#61;0,with Bonnie,
S85516072,Canada Goose,Branta canadensis,319,6,US-MA,Berkshire,L207427,"Canoe Meadows Wildlife Sanctuary, Pittsfield",42.42846,-73.232,2021-04-14,07:30 AM,eBird - Traveling Count,90,1,4,,2,,,with Bonnie,
S85448455,Canada Goose,Branta canadensis,319,6,US-MA,Berkshire,L2888966,"Wild Acres Conservation Area, Pittsfield",42.430774,-73.2797098,2021-04-13,07:30 AM,eBird - Traveling Count,60,1,3,,2,,,with Bonnie,
S36025573,Canada Goose,Branta canadensis,319,8,US-NM,Bernalillo,L196306,Rio Grande Nature Center SP,35.13,-106.683,2017-04-16,09:05 AM,eBird - Traveling Count,110,1,2,,2,,,with Bonnie,
S80520827,Canada Goose,Branta canadensis,319,24,US-MD,Dorchester,L13504692,Hyatt Regency Chesapeake Bay,38.5620593,-76.0483932,2021-02-06,10:30 AM,eBird - Traveling Count,98,1,2,,2,,,with Bonnie,
S66671442,Canada Goose,Branta canadensis,319,11,US-MA,Essex,L129046,Parker River NWR,42.7639008,-70.8022995,2020-04-05,07:10 AM,eBird - Traveling Count,130,1,8,,2,,,with Bonnie,
S70430752,Canada Goose,Branta canadensis,319,8,US-MA,Essex,L129047,Parker River NWR--Hellcat Dike,42.7411003,-70.7965012,2020-06-14,09:05 AM,eBird - Traveling Count,20,1,1,,2,,,with Bonnie,
S70430230,Canada Goose,Branta canadensis,319,12,US-MA,Essex,L444818,Parker River NWR--Maintenance Area,42.756722,-70.8052111,2020-06-14,08:35 AM,eBird - Stationary Count,25,1,,,2,,,with Bonnie,
S23178806,Canada Goose,Branta canadensis,319,6,US-MA,Essex,L129084,Sandy Point State Reservation,42.7035658,-70.7790756,2015-05-02,08:15 AM,eBird - Traveling Count,135,1,10,,2,,,with Bonnie,
S56735183,Canada Goose,Branta canadensis,319,40,US-NY,Fulton,L7644445,Canada Lake,43.1687535,-74.5093632,2019-05-25,09:00 AM,eBird - Traveling Count,240,1,8,,2,,,with Glenny B,
S22940806,Canada Goose,Branta canadensis,319,2,US-MA,Middlesex,L723666,Arlington's Great Meadows,42.4326428,-71.2006545,2015-04-19,08:45 AM,eBird - Traveling Count,60,1,2,,1,,,,
S23064115,Canada Goose,Branta canadensis,319,2,US-MA,Middlesex,L723666,Arlington's Great Meadows,42.4326428,-71.2006545,2015-04-26,07:30 AM,eBird - Traveling Count,45,1,2,,2,,,with Bonnie,
S23194125,Canada Goose,Branta canadensis,319,2,US-MA,Middlesex,L723666,Arlington's Great Meadows,42.4326428,-71.2006545,2015-05-03,07:45 AM,eBird - Traveling Count,30,1,1,,1,,,Peeper's Pond to boardwalk,
S23350403,Canada Goose,Branta canadensis,319,2,US-MA,Middlesex,L723666,Arlington's Great Meadows,42.4326428,-71.2006545,2015-05-09,03:30 PM,eBird - Traveling Count,60,1,1,,2,,,with Bonnie,
